FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,ALB,Albania,WB_EWSA_AS_4190,Total renewable water resources per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,16400.199626271,15942.463543492,15486.830040758,15035.93938027,14597.545195595,14199.235968263,13845.462631005,13512.352616922,13192.007041561,12883.381930417,12586.474707646,12302.132220221,12029.092878936,11766.54397512,11506.423213104,11262.83618354,11040.368265741,10822.770679466,10608.003703669,10395.403992248,10185.641752767,9979.373757948,9780.894997234,9590.839541443,9399.55224517,9262.741022962,9213.030275482,9200.018765601,9200.301843015,9213.426586227,9237.140646172,9267.877567041,9304.681487196,9350.82949908,9407.709898624,9471.256148868,9538.404395499,9593.566338399,9635.96473875,9685.422605135,9746.157770931,9817.43791527,9899.013671456,9990.449527223,10090.446485551,10197.607344168,10311.66495147,10372.645890234,10377.99260757,10386.669569431,10400.34796396,10418.707859432,10421.458265683,10420.1098459,10434.550663026,10467.901324432,10515.488757828,10597.848496386,10680.405487607,
A,Annual,ALB,Albania,WB_EWSA_AS_4192,Dependency ratio,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,10.927152318,
A,Annual,ALB,Albania,WB_EWSA_AS_4254,Agricultural water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,83.333333333,78.370168991,73.338064821,68.235574387,63.061210501,57.813443783,57.774894182,57.743662878,57.717846563,57.696149281,57.677658069,55.391154325,52.864495647,50.057749178,46.921609202,43.394475769,40.678392355,42.572971933,44.544012559,46.596238255,48.734770384,50.965170319,53.293487735,55.726315407,58.270851551,69.565217391,70.264317181,64.010989011,68.162839248,61.184792219,69.338422392,70.854271357,70.890840652,
A,Annual,ALB,Albania,WB_EWSA_AS_4255,Municipal water withdrawal as % of total withdrawal,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333,12.170031382,16.060022306,20.004424252,24.004386867,28.061092415,28.597027837,29.031220726,29.390131781,29.691778005,29.948851888,31.567702204,33.356582808,35.343766262,37.564161135,40.061380344,41.902044922,40.476381297,38.993181038,37.448889334,35.839652381,34.161285269,32.409235641,30.578542459,28.663789094,30.434782609,29.735682819,25.915750916,21.607515658,21.043324492,28.625954199,27.889447236,27.728983689,
A,Annual,ALB,Albania,WB_EWSA_AS_4256,Industrial water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333,9.459799627,10.601912873,11.760001361,12.934402632,14.125463802,13.628077981,13.225116396,12.892021657,12.612072714,12.373490042,13.041143471,13.778921545,14.59848456,15.514229663,16.544143887,17.419562723,16.950646769,16.462806404,15.954872411,15.425577234,14.873544412,14.297276625,13.695142135,13.065359356,14.163043478,13.232378855,10.073260073,10.229645094,17.771883289,2.03562341,1.256281407,1.380175659,
A,Annual,ALB,Albania,WB_EWSA_AS_4257,Total water withdrawal per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,366.080673198,363.059548492,360.566531434,358.573139201,356.98184076,355.647129551,398.893543968,442.913495538,487.905018266,533.783688427,580.452966823,556.064706381,530.654492593,505.367391812,480.350035515,455.470604738,417.076257478,412.764354076,408.649717835,404.655916858,400.755005084,394.648264265,386.370602927,378.205465521,370.204173983,317.391100354,313.333910769,376.780130852,331.003295867,392.026370793,273.681263697,279.334019971,281.863681246,
A,Annual,ALB,Albania,WB_EWSA_AS_4261,Fresh surface water withdrawal,_T,Total,M3_YEAR,Cubic meters per year,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,9,Billions,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.984,0.984,0.859,0.915,0.704,0.685,0.69,
A,Annual,ALB,Albania,WB_EWSA_AS_4262,Fresh groundwater withdrawal,_T,Total,M3_YEAR,Cubic meters per year,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,9,Billions,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.108,0.107,0.099,0.216,0.082,0.111,0.107,
A,Annual,ALB,Albania,WB_EWSA_AS_4324,Percentage of area equipped for irrigation by surface water,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.741578637,99.741578637,116.470588235,99.741578637,99.741578637,99.741578637,99.741578637,99.741578637,99.741578637,99.741578637,114.450867052,99.741578637,99.741578637,99.741578637,99.741578637,99.741578637,99.741578637,99.741578637,99.741578637,99.741578637,114.450867052,117.298578199,99.741578637,112.054329372,99.741578637,111.738148984,111.392405063,111.017661901,110.152990264,109.634551495,110.583635856,
A,Annual,ALB,Albania,WB_EWSA_AS_4328,Percentage of the area equipped for irrigation actually irrigated,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.321218258,26.783236994,27.076312383,24.497136208,23.844785984,25.867323551,26.824439709,29.695788185,51.608710765,51.507961695,51.482774428,59.161849711,60.811611374,52.742137795,63.667232598,58.232458328,48.250564334,232.376,50.18222596,50.625869263,52.048726467,53.225356046,
A,Annual,ALB,Albania,WB_EWSA_AS_4331,Percentage of the cultivated area equipped for irrigation,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,60.085227273,58.321479374,56.475960171,56.556410256,48.433048433,56.556410256,56.556410256,56.718,56.799141631,56.799141631,56.799141631,56.799141631,49.499284692,56.799141631,56.799141631,60.246737481,56.315744681,56.880515759,56.962123386,57.043965517,57.043965517,57.043965517,49.712643678,48.484848485,57.043965517,50.768567735,56.435820896,50.904912381,51.077586207,51.25,52.286726153,52.535889343,52.170745921,
A,Annual,ALB,Albania,WB_EWSA_AS_4471,Dam capacity per capita,_T,Total,M3_POP,Cubic meters per person,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,76.027415486,73.905460135,71.793251845,189.193939222,183.677721004,178.665883044,174.214430456,170.022979948,165.992141583,375.409804595,366.758203402,358.472726947,350.516613691,342.866182057,335.286504223,1335.130911824,1308.758887131,1282.964206374,1257.505074806,1232.302857359,1207.43700248,1182.985366008,1305.198901949,1279.837197087,1254.311110862,1236.054513991,1229.42092749,1227.684623357,1227.722398257,1229.473812665,1232.638304771,1236.739953483,1241.651205079,1247.80936693,1255.399698393,1263.879545693,1272.84005675,1280.201070985,1285.858870767,1292.458711877,1300.563437644,1310.075324455,1320.961095893,1333.162635586,1346.506600555,1360.806542947,1376.02681306,1384.164335684,1384.877821474,1386.035707444,1387.861003138,1390.311015679,1390.678040089,1390.498101953,1392.425138145,1396.875574088,1403.225817684,1414.216206637,1425.232917717,
A,Annual,ALB,Albania,WB_EWSA_AS_4541,Interannual variability (WRI),_T,Total,IX_0T5,Score 0-5,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,
A,Annual,ALB,Albania,WB_EWSA_AS_4542,Seasonal variability (WRI),_T,Total,IX_0T5,Score 0-5,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,
A,Annual,ALB,Albania,WB_EWSA_AS_4550,Water Stress (SDG 6.4.2),_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,7.211538461,7.162139423,7.112740385,7.063341346,7.013942308,6.964543269,7.780528846,8.596514423,9.4125,10.228485577,11.044471154,10.519591346,9.994711539,9.469831731,8.944951923,8.420072115,7.646754808,7.4984375,7.350120192,7.201802885,7.053485577,6.905168269,6.756850961,6.608533654,6.460216346,5.528846154,6.5625,6.556490385,5.757211539,6.796875,4.723557692,4.783653846,4.789663461,
A,Annual,ALB,Albania,WB_EWSA_JMP_DW_BS,Basic and safely managed drinking water coverage (%),_T,Total,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.25872421264648,37.82287216186523,38.46686935424805,39.10174942016602,37.79290390014648,36.44285202026367,35.05205154418945,33.62034606933594,32.14767074584961,30.63350486755371,29.07884979248047,27.48348617553711,25.84792709350586,24.17176246643066,22.45679664611816,22.80235481262207,23.13837051391602,23.46515464782715,23.78304100036621,24.09236907958984,24.39350128173828,24.37571907043457,24.35849571228027,
A,Annual,ALB,Albania,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),RUR,Rural area,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.26864124538497,64.83899982889352,65.4093584124023,65.97971699591085,66.55007557941963,67.12043416292818,67.69079274643695,68.2611513299455,68.83150991345428,69.40186849696306,69.97222708047161,70.54258566398039,71.11294424748894,71.68330283099772,72.25366141450627,72.82401999801505,73.3943785815236,73.96473716503237,74.53509574854093,75.1054543320497,75.67581291555825,75.67581291555825,75.67581291555825,
A,Annual,ALB,Albania,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),URB,Urban area,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.11124167752928,97.39218127328309,96.6731208690369,95.9540604647907,95.23500006054452,94.51593965629831,93.79687925205212,93.07781884780591,92.35875844355974,91.63969803931354,90.92063763506737,90.20157723082116,89.48251682657497,88.76345642232877,88.04439601808258,87.32533561383639,86.6062752095902,85.88721480534377,85.16815440109758,84.44909399685139,83.7300335926052,83.7300335926052,83.7300335926052,
A,Annual,ALB,Albania,WB_EWSA_JMP_DW_PI,Total water supply coverage by piped improved facilities (%),_T,Total,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.39488113891157,78.65294087548243,79.00940783394668,79.34018337025479,79.64502918435258,79.92262569870411,80.17342067173435,80.39700074068969,80.59301598149727,80.76005963702497,80.89954754265925,81.01041015276643,81.09313230422718,81.14348888052353,81.16326955980254,81.15270407201953,81.1129001219008,81.04466118941075,80.94885208929573,80.82647320363333,80.67845036838908,80.74747391617052,80.81432294028176,
A,Annual,ALB,Albania,WB_EWSA_JMP_ST_BS,Basic and safely managed sanitation coverage (%),URB,Urban area,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.01435089111328,71.99268341064453,71.97101593017578,71.94934844970703,71.92768096923828,71.82290649414062,71.63684844970703,71.45027923583984,71.2632064819336,71.07563018798828,70.88754272460938,70.69895935058594,70.5098648071289,68.58451080322266,66.62305450439453,64.62612915039062,62.59438705444336,60.52846908569336,58.42902374267578,56.29670333862305,54.13216400146484,51.91013717651367,49.66342163085938,
A,Annual,ALB,Albania,WB_EWSA_JMP_ST_BS,Basic and safely managed sanitation coverage (%),_T,Total,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.92181396484375,62.84688949584961,62.83601760864258,62.83212661743164,62.83525085449219,62.62940216064453,62.39614486694336,62.1722526550293,61.95759963989258,61.75109481811523,61.55388259887695,61.36500549316406,61.18486022949219,59.51930236816406,57.81594085693359,56.07475662231445,54.29673385620117,52.4824333190918,50.63241958618164,48.6993522644043,46.71784210205078,44.84655380249023,42.95277404785156,
A,Annual,ALB,Albania,WB_EWSA_JMP_ST_SWR,Total sanitation coverage by sewer (%),RUR,Rural area,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.62062389975563,49.35702041564809,48.09341693154056,46.82981344743257,45.56620996332504,44.3026064792175,43.03900299510997,41.77539951100243,40.5117960268949,39.24819254278736,37.98458905867983,36.7209855745723,35.45738209046476,34.19377860635677,32.93017512224924,31.6665716381417,30.40296815403417,29.13936466992664,27.8757611858191,26.61215770171157,25.34855421760403,24.0849507334965,22.82134724938896,
A,Annual,ALB,Albania,WB_EWSA_JMP_ST_SWR,Total sanitation coverage by sewer (%),URB,Urban area,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5290732495007,97.96357670970065,97.39808016990082,96.83258363010076,96.26708709030072,95.70159055050068,95.13609401070062,94.57059747090057,94.00510093110074,93.43960439130068,92.87410785150064,92.3086113117006,91.74311477190054,91.17761823210073,90.61212169230066,90.04662515250061,89.48112861270056,88.91563207290051,88.35013553310046,87.78463899330063,87.21914245350058,86.65364591370053,86.08814937390048,
A,Annual,ALB,Albania,WB_EWSA_JMP_ST_SWR,Total sanitation coverage by sewer (%),_T,Total,PT_POP,Percentage of population,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.61808985911831,69.98321126613406,69.54143822109259,69.11755015408511,68.71166635375086,68.32186410940653,67.94922977397168,67.59330917885642,67.2536337699719,66.92699625247718,66.61660914859367,66.31972922429632,66.03741886457395,65.75541975968831,65.47606292748301,65.19656928503315,64.91701885439186,64.63630348382662,64.35330020310636,64.06745850491018,63.77761344924391,63.48383065805458,63.18493237434215,
A,Annual,ALB,Albania,WB_EWSA_SDG_3_1A,Monitoring (availability etc.) (SDG 3.1.a),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,40.0,,,40.0
A,Annual,ALB,Albania,WB_EWSA_SDG_3_1B,Sustainable & efficient use management (SDG 3.1.b),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,60.0,,,40.0
A,Annual,ALB,Albania,WB_EWSA_SDG_3_1C,Pollution control (SDG 3.1.c),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,40.0,,,40.0
A,Annual,ALB,Albania,WB_EWSA_SDG_3_1D,Ecosystems & biodiversity (SDG 3.1.d),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,40.0,,,40.0
A,Annual,ALB,Albania,WB_EWSA_SDG_3_1E,Disaster Risk Reduction (SDG 3.1.e),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,20.0,,,40.0
A,Annual,ALB,Albania,WB_EWSA_SDG_3_2A,Basin management (SDG 3.2.a),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,60.0,,,60.0
A,Annual,ALB,Albania,WB_EWSA_SDG_3_2B,Aquifer management (SDG 3.2.b),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,60.0,,,40.0
A,Annual,ALB,Albania,WB_EWSA_SDG_3_2C,Data & info sharing within country (SDG 3.2.c),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,60.0,,,60.0
A,Annual,ALB,Albania,WB_EWSA_SDG_3_2D,Transboundary data & info sharing (SDG 3.2.d),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,40.0,,,40.0
A,Annual,ALB,Albania,WB_EWSA_SDG_6_5_1,Degree of IWRM implementation (SDG 3.1.c),_T,Total,IX_0T100,Score 0-100,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,43.14141414141415,,,47.0
A,Annual,ARM,Armenia,WB_EWSA_AS_4190,Total renewable water resources per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175.056644141,2249.711293325,2309.034330873,2900.0,2369.511412176,2393.194198052,2421.45542281,2452.888687665,2485.580497743,2518.845954203,2542.519873152,2556.459956143,2570.353884364,2584.195923896,2598.000185261,2611.587461288,2624.671029294,2637.56753059,2650.56064697,2657.639336209,2658.314993047,2658.324089022,2658.411413547,2659.544423361,2661.716675352,2665.213932389,2669.791561067,2675.30127701,2687.405824915,2706.639506206,2696.751055409,
A,Annual,ARM,Armenia,WB_EWSA_AS_4192,Dependency ratio,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,11.713219204,
A,Annual,ARM,Armenia,WB_EWSA_AS_4254,Agricultural water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.324786325,66.275600212,66.219938717,66.156433003,66.083299175,65.998168057,65.892796176,65.766701281,65.752176554,65.758019053,65.755764304,65.758754864,66.950053135,64.678117215,61.842299189,58.202927814,67.473338802,71.676300578,77.508884752,74.908200734,81.743119266,80.0,73.170731707,69.344141489,74.485165794,70.342877342,76.036400404,77.473958333,
A,Annual,ARM,Armenia,WB_EWSA_AS_4255,Municipal water withdrawal as % of total withdrawal,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.572649573,29.593518364,29.617134545,29.644078887,29.675108268,29.711227884,29.758121701,29.814237914,29.823850982,29.821243801,29.820666097,29.819596746,28.160821821,29.380883703,30.90375829,32.858152448,24.7292863,20.418225093,18.314435607,19.059276097,14.95412844,16.672955975,23.344947735,25.865880619,21.465968586,23.082361258,20.256150994,17.643229167,
A,Annual,ARM,Armenia,WB_EWSA_AS_4256,Industrial water withdrawal as % of total water withdrawal,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.102564103,4.130881424,4.162926739,4.19948811,4.241592558,4.290604059,4.349082123,4.419060805,4.423972464,4.420737146,4.423569599,4.42164839,4.889125044,5.940999082,7.25394252,8.938919737,7.797374898,7.895273716,4.176679641,6.032523168,3.345565749,3.433962264,4.264808362,4.789977892,4.048865619,6.5747614,3.707448601,4.8828125,
A,Annual,ARM,Armenia,WB_EWSA_AS_4257,Total water withdrawal per capita,_T,Total,M3_IH_YR,Cubic meters per inhabitant per year,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.332084384,840.220389876,796.207608134,752.58049103,708.631932828,663.642634376,617.261535579,567.280724433,650.089109198,927.266164462,779.017486647,945.365751542,948.965298393,858.899298083,767.833513324,675.860553694,833.99725855,1006.320555355,1010.943303001,978.469228606,1119.411798737,1089.491443895,984.575104384,932.657265637,986.579760411,978.590691039,1033.672211985,1066.343061168,
A,Annual,ARM,Armenia,WB_EWSA_AS_4261,Fresh surface water withdrawal,_T,Total,M3_YEAR,Cubic meters per year,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,9,Billions,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.123,1.98,1.68,1.461,1.33,1.464,1.43,1.338,1.196,1.158,1.302,1.781,1.968,1.984,2.154,2.021,1.65,1.251,1.435,1.627,1.606,1.548,1.967,2.045,1.72,1.522,1.571,1.441,1.511,1.653,
A,Annual,ARM,Armenia,WB_EWSA_AS_4262,Fresh groundwater withdrawal,_T,Total,M3_YEAR,Cubic meters per year,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,9,Billions,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.075,1.003,0.851,0.816,0.52,0.53,0.536,0.533,0.53,0.575,0.674,0.722,0.803,0.843,0.858,0.852,0.814,0.876,1.003,1.314,1.349,1.312,1.304,1.136,1.15,1.192,1.294,1.389,1.456,1.419,
A,Annual,ARM,Armenia,WB_EWSA_AS_4324,Percentage of area equipped for irrigation by surface water,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.674883887,89.764760866,85.372834547,83.946773789,85.839644816,84.35622878,82.872812745,81.389396709,91.379310345,104.164716893,121.109902068,144.639376218,143.984476067,142.783835792,142.875481386,143.400115957,144.02173913,144.170984456,144.357976654,143.984476067,143.891402715,143.798449612,143.891402715,143.705616527,143.427835052,143.252461548,142.875481386,142.875481386,
A,Annual,ARM,Armenia,WB_EWSA_AS_4328,Percentage of the area equipped for irrigation actually irrigated,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4,62.853177357,60.885125419,60.993768973,63.559913578,63.672926708,63.785939837,63.898952967,71.868935662,82.069170885,95.588089821,114.359974009,107.066623545,99.454778704,92.795250321,86.387940475,79.985119048,73.283678756,66.585603113,59.637774903,60.741219565,61.843238587,63.025210084,53.131052292,53.350515464,54.958491537,53.145057766,53.145057766,
A,Annual,ARM,Armenia,WB_EWSA_AS_4331,Percentage of the cultivated area equipped for irrigation,_T,Total,PT,Percentage,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.101449275,56.206896552,55.26,56.659919028,54.367588933,57.128514056,57.70791075,56.045081967,56.045081967,55.476673428,55.702647658,49.311740891,42.316831683,36.396039604,30.541774162,30.547322664,30.908009516,31.011146497,30.82406672,30.752089137,30.568204316,30.480332081,30.625990491,30.676184811,30.689928628,30.688355485,30.691499901,30.732673267,30.831349206,30.92988168,30.916992439,
A,Annual,ARM,Armenia,WB_EWSA_AS_4471,Dam capacity per capita,_T,Total,M3_POP,Cubic meters per person,WB_EWSA,Europe and Central Asia (ECA) Water Security Assessment,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.00866747,401.615019929,412.205277878,419.312482446,423.001553953,427.229368673,432.274519301,437.885937677,443.722029621,449.66052804,453.88675985,456.375322149,462.85559071,461.326704699,463.791020329,466.216600069,468.552258623,470.854522313,473.174033581,474.437710359,474.558327585,474.559951384,474.575540425,474.777803604,475.165590708,475.789915687,476.607106958,477.590693023,479.751578406,483.185145778,481.419874663,
